T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
23.659,23.832,24.078,24.06,23.224,23.723,24.4,24.021,23.51,24.18,23.87,24.337,24.286,23.997,24.636,20.876,20.94,23.43,23.541,19.931
23.691,23.898,24.1,24.155,23.311,23.802,24.514,24.116,23.559,24.283,23.957,24.432,24.406,24.101,24.769,20.87,20.976,23.517,23.628,19.937
23.741,23.989,24.153,24.151,23.373,23.87,24.656,24.223,23.65,24.397,24.05,24.571,24.501,24.177,24.902,20.861,20.959,23.607,23.731,19.89
23.802,24.065,24.196,24.268,23.412,23.909,24.773,24.351,23.757,24.513,24.185,24.702,24.646,24.342,25.027,20.867,20.995,23.704,23.846,19.904
23.859,24.072,24.265,24.327,23.466,23.998,24.835,24.423,23.848,24.634,24.292,24.808,24.773,24.426,25.152,20.886,21.028,23.796,23.952,19.854
23.922,24.135,24.283,24.419,23.551,24.061,24.924,24.568,23.923,24.75,24.404,24.963,24.898,24.543,25.287,20.88,20.994,23.914,24.069,19.886
23.974,24.181,24.392,24.454,23.594,24.115,25.016,24.645,24.015,24.887,24.532,25.044,25.015,24.643,25.443,20.916,21.036,23.985,24.167,19.903
24.061,24.316,24.443,24.555,23.645,24.175,25.095,24.764,24.095,25.008,24.626,25.193,25.154,24.749,25.557,20.919,21.038,24.107,24.27,19.886
24.124,24.242,24.579,24.653,23.716,24.241,25.196,24.865,24.163,25.125,24.718,25.299,25.271,24.864,25.695,20.908,20.994,24.172,24.357,19.845
24.186,24.327,24.587,24.68,23.8,24.29,25.269,24.95,24.248,25.225,24.841,25.405,25.375,24.962,25.829,20.888,21.016,24.281,24.463,19.87
24.254,24.441,24.652,24.792,23.852,24.331,25.425,25.069,24.316,25.359,24.955,25.544,25.484,25.065,25.941,20.93,21.013,24.385,24.583,19.867
24.325,24.498,24.712,24.911,23.901,24.418,25.533,25.151,24.411,25.454,25.072,25.666,25.595,25.152,26.093,20.921,21.016,24.488,24.643,19.878
